subid,eta,beta,resp_st,loglik,aic,model
53987712fdf99b68e3a45021,0.5804175744428002,1.719234771081259,0.0,-116.14665755243888,236.29331510487776,FeatureRL_no_resp_st
55885869fdf99b4020ba0b64,0.05518575154519523,1.634562679598468,0.0,-152.40714387729898,308.81428775459796,FeatureRL_no_resp_st
55914b15fdf99b1e5e44e714,0.6074123702063037,1.0063639972754868,0.0,-143.30216366307081,290.60432732614163,FeatureRL_no_resp_st
55bc1119fdf99b5693f3ec47,0.5117567197902949,0.8354237174139924,0.0,-149.13242218435872,302.26484436871743,FeatureRL_no_resp_st
5685850c333cbd000d4e042f,0.4312013036970693,1.6680182664957148,0.0,-123.35083207404546,250.7016641480909,FeatureRL_no_resp_st
579983292fc0d400012c8937,0.40451902399754763,2.2675748083939986,0.0,-110.96412352865394,225.92824705730789,FeatureRL_no_resp_st
57dab7f721d77800018e42fe,0.5034560412940778,1.5002226422074714,0.0,-128.77556717677038,261.55113435354076,FeatureRL_no_resp_st
58c1d1fb8a3f870001c0e34c,0.6940679769212744,1.5968558870890488,0.0,-106.36488883964076,216.7297776792815,FeatureRL_no_resp_st
590208c89571f50001c666e3,0.6634584352271102,1.2971699383981026,0.0,-131.32359314089013,266.64718628178025,FeatureRL_no_resp_st
5a286558564bdf00016463fc,0.405770769243589,1.576609091702118,0.0,-131.62443480992349,267.24886961984697,FeatureRL_no_resp_st
5a53e59af6c5170001949a39,0.0756050820898145,2.01954072617408,0.0,-153.95042476080434,311.9008495216087,FeatureRL_no_resp_st
5a89cc2c000dab00018cbd38,0.02727602973858616,6.726287428314651,0.0,-141.55075575429024,287.1015115085805,FeatureRL_no_resp_st
5ac4c730f69e940001d977e1,0.044085721396918374,1.558833597279627,0.0,-158.01297265986923,320.02594531973847,FeatureRL_no_resp_st
5b23d0784fb0d40001e95407,0.4698160465892143,1.2942034398074085,0.0,-139.2609289155401,282.5218578310802,FeatureRL_no_resp_st
5c74e7e9c3fe130001e86cc8,0.4994208326047278,1.8179487557001184,0.0,-113.09908172354686,230.19816344709372,FeatureRL_no_resp_st
5c8db07eb1f89a0016777fe0,0.011686642654527927,3.2458766220971955,0.0,-157.0666815264032,318.1333630528064,FeatureRL_no_resp_st
5cd08e2ff59e0a0013563602,0.14596615341026953,1.8104745635680193,0.0,-144.81966214972223,293.63932429944447,FeatureRL_no_resp_st
5d4b265b72db9d0015e8aac6,0.5689698132916974,1.62024470662557,0.0,-110.91471698673138,225.82943397346276,FeatureRL_no_resp_st
5d7472ad3bc4020015f3bb56,0.4260821514847337,1.59058158202917,0.0,-128.235094028132,260.470188056264,FeatureRL_no_resp_st
5e1f7b2a4c9b832b34e7c9d3,0.47072831276942695,1.5089771163940606,0.0,-128.01751561903168,260.03503123806337,FeatureRL_no_resp_st
5e5410f5be932e06384a03ec,0.5172312640394328,0.6714080719872719,0.0,-153.7007124748032,311.4014249496064,FeatureRL_no_resp_st
5e9fb6c522a51f166714e092,0.1760858824826635,2.7523003539753756,0.0,-130.19416692638217,264.38833385276433,FeatureRL_no_resp_st
5ee232f2b970662cfa352567,0.5859186121172048,1.1291930533617816,0.0,-133.83521898403225,271.6704379680645,FeatureRL_no_resp_st
5ee5e3b02eebe932ee9559c5,0.4551302960001367,1.14643495357211,0.0,-139.49562383174134,282.9912476634827,FeatureRL_no_resp_st
5f7910b3cca3e751912b8dc0,0.5440671099577055,0.9284908939682922,0.0,-144.81638314811542,293.63276629623084,FeatureRL_no_resp_st
5fb0a3d6a8e4224b973e750b,0.6768373182312254,0.9840452584736028,0.0,-111.19316646239336,226.38633292478673,FeatureRL_no_resp_st
5fc6772fe8fdb700085c553a,0.364627984442709,1.2216483715211317,0.0,-138.6539146707047,281.3078293414094,FeatureRL_no_resp_st
5febf3346a3657d4aca47a2f,0.5173842164756013,1.9745832272006907,0.0,-109.4688145033058,222.9376290066116,FeatureRL_no_resp_st
6079ff1600ff2b7455e1c3e0,0.5303668752717102,1.7720432449134804,0.0,-114.1968794164828,232.3937588329656,FeatureRL_no_resp_st
60fe83c4f1cfa0b516b363cc,0.5817481712513191,1.1601677359806328,0.0,-135.30147257682623,274.60294515365246,FeatureRL_no_resp_st
6110d9878a3bec3b5a040544,0.5280054844544868,0.6233123983848194,0.0,-152.0415455138864,308.0830910277728,FeatureRL_no_resp_st
6111234ac8cfa49e38acbfb4,0.5328955780810557,1.32361729460757,0.0,-134.08662116898276,272.1732423379655,FeatureRL_no_resp_st
6142763db0841a831cf129fc,0.6788245717557474,1.2148268256976413,0.0,-125.85976689188612,255.71953378377225,FeatureRL_no_resp_st
6175e05636b79082f8d345c5,0.5675436644530192,2.005406553127371,0.0,-103.32336816674979,210.64673633349958,FeatureRL_no_resp_st
628f0d7e3055b5d1887916c5,0.5847229246163432,1.4314036022907655,0.0,-126.13750428273237,256.27500856546476,FeatureRL_no_resp_st
62a0b34cbcc5987a8fa73c39,0.5608436783882562,0.938542216722252,0.0,-142.50382442957724,289.0076488591545,FeatureRL_no_resp_st
62aa28c1027ae7d68ef3571c,0.3815247583899007,1.312013145563773,0.0,-141.56663939983574,287.1332787996715,FeatureRL_no_resp_st
62fe6312269d0e4ae894297b,0.468957074903776,2.1847483805733496,0.0,-106.94850973937518,217.89701947875037,FeatureRL_no_resp_st
630cc9747cb664e8a03c29f0,0.5169608906986908,2.037949387489393,0.0,-105.60250845047173,215.20501690094346,FeatureRL_no_resp_st
63254db937c17e8e9200fd54,0.016951770075454137,3.4173019473469424,0.0,-155.56023904033054,315.1204780806611,FeatureRL_no_resp_st
63d83a19b8acced30d2e0d32,0.03112248115383971,2.559663587180968,0.0,-157.14574676292602,318.29149352585205,FeatureRL_no_resp_st
63d9f41910c61f3eb102079f,0.4353625558603931,1.7512306559526307,0.0,-122.62741747431214,249.25483494862428,FeatureRL_no_resp_st
63f78d9a7a3d118594efff74,0.6574547945075401,1.3901773683857916,0.0,-124.21905159838795,252.4381031967759,FeatureRL_no_resp_st
6400dc9f84ed19aeedc1a2cc,0.5389721733754315,0.9402218887433901,0.0,-146.445954287324,296.891908574648,FeatureRL_no_resp_st
6400e3697879c55c323f34d0,0.4924781305791558,1.8874573693457268,0.0,-113.62121463752602,231.24242927505205,FeatureRL_no_resp_st
640feb5e49b723bcfaad6437,0.4367479914056851,1.558389769576253,0.0,-129.65911061364275,263.3182212272855,FeatureRL_no_resp_st
6410e0ba81f88046afa861ca,0.4340524125019315,0.9225080009222076,0.0,-146.84015389925662,297.68030779851324,FeatureRL_no_resp_st
6413665e5dec6a98797ef5ab,0.4572264205205213,1.1634896403706239,0.0,-136.5080900489416,277.0161800978832,FeatureRL_no_resp_st
64136da866ff27f7bf98cfe0,0.4783913209986475,1.288174523463433,0.0,-140.15724337299758,284.31448674599517,FeatureRL_no_resp_st
644c34bee80856c9546c7312,0.18239883462661813,1.0509040675413481,0.0,-156.33720967178905,316.6744193435781,FeatureRL_no_resp_st
647652cb5644044df439e1fb,0.5082241324098753,1.1088511719424448,0.0,-139.48465061967065,282.9693012393413,FeatureRL_no_resp_st
650ee1c673c788d8cffca2d3,0.4949549774240536,0.9145846435857009,0.0,-140.20346400168194,284.4069280033639,FeatureRL_no_resp_st
653ee1d628ced1573a58023d,0.4365484325488433,1.2797158206450896,0.0,-135.5169914591304,275.0339829182608,FeatureRL_no_resp_st
6549c057c03dd7b7b3166a9d,0.5590036123085527,1.893033409160716,0.0,-107.70025093449324,219.40050186898648,FeatureRL_no_resp_st
657322bd0c81d1e8853d38e8,0.5601759800044309,1.07170160974923,0.0,-135.19525564344687,274.39051128689374,FeatureRL_no_resp_st
657327316173c2bd86323378,0.7985819206607366,0.4984097707644268,0.0,-154.42175370356898,312.84350740713796,FeatureRL_no_resp_st
65847ecf0896ca006d2c00b7,0.6049906679139648,0.8677707656853861,0.0,-143.91378347439385,291.8275669487877,FeatureRL_no_resp_st
6596a5cad60ef105b6c18897,0.5078822525026057,1.8113827400447573,0.0,-113.5334597878666,231.0669195757332,FeatureRL_no_resp_st
65c1161ad396af7b640441cb,0.3582836749962946,1.3125491008892074,0.0,-141.1936468539841,286.3872937079682,FeatureRL_no_resp_st
65cb58d0b074d6157dc0a15d,0.1696892685372414,1.854819156787714,0.0,-141.9979319920464,287.9958639840928,FeatureRL_no_resp_st
65cb6fdbf0ca3606c22b9eb7,0.6134371521071682,1.188229823937429,0.0,-132.9413376531583,269.8826753063166,FeatureRL_no_resp_st
65cba317504938f6ca5272f5,0.3689186769783238,1.716231662607155,0.0,-130.22317751424856,264.4463550284971,FeatureRL_no_resp_st
65d863e56337aa59292ccd66,0.6554455588357514,1.0952701651547112,0.0,-134.266853925753,272.533707851506,FeatureRL_no_resp_st
65e7bb5a7357ea00136b0270,0.5987409564915352,1.6425723006326074,0.0,-114.69375273800256,233.38750547600512,FeatureRL_no_resp_st
65f223adc0810071f7cb1061,0.07406398137523366,3.3524480718276832,0.0,-140.60939564787608,285.21879129575217,FeatureRL_no_resp_st
65f3bf636afc5f3102e7f2fd,0.3455053949084575,1.8533031251193803,0.0,-126.60447497885734,257.2089499577147,FeatureRL_no_resp_st
