subid,epsilon,loglik,aic,model
53987712fdf99b68e3a45021,0.45451347084705285,-284.57734094625323,571.1546818925065,WinStayLoseShiftEpsilonGreedyWithoutReplacement
55885869fdf99b4020ba0b64,0.6310814497448798,-260.162954128678,522.325908257356,WinStayLoseShiftEpsilonGreedyWithoutReplacement
55914b15fdf99b1e5e44e714,0.7566311464737258,-274.55639052114833,551.1127810422967,WinStayLoseShiftEpsilonGreedyWithoutReplacement
55bc1119fdf99b5693f3ec47,0.585289958864638,-274.2250522814994,550.4501045629988,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5685850c333cbd000d4e042f,0.49957521660039944,-274.5026976372125,551.005395274425,WinStayLoseShiftEpsilonGreedyWithoutReplacement
579983292fc0d400012c8937,0.8600404585771725,-279.0625203646939,560.1250407293878,WinStayLoseShiftEpsilonGreedyWithoutReplacement
57dab7f721d77800018e42fe,0.6384221460079125,-242.11737991959123,486.23475983918246,WinStayLoseShiftEpsilonGreedyWithoutReplacement
58c1d1fb8a3f870001c0e34c,0.7348254370218141,-270.64462466630295,543.2892493326059,WinStayLoseShiftEpsilonGreedyWithoutReplacement
590208c89571f50001c666e3,0.7479239046387164,-265.47432723778786,532.9486544755757,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5a286558564bdf00016463fc,0.654955650909121,-272.4576404102083,546.9152808204166,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5a53e59af6c5170001949a39,0.7214732744581095,-274.39995164216947,550.7999032843389,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5a89cc2c000dab00018cbd38,0.6563387954248415,-250.54820862684616,503.0964172536923,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5ac4c730f69e940001d977e1,0.706280143738855,-278.62695229036404,559.2539045807281,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5b23d0784fb0d40001e95407,0.532867085113995,-256.29972336646085,514.5994467329217,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5c74e7e9c3fe130001e86cc8,0.8683027343049268,-284.6818882011454,571.3637764022908,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5c8db07eb1f89a0016777fe0,0.5098685713532235,-265.87954306068264,533.7590861213653,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5cd08e2ff59e0a0013563602,0.6023924786958317,-264.6317917104121,531.2635834208241,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5d4b265b72db9d0015e8aac6,0.5894009328138949,-277.9092262207115,557.818452441423,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5d7472ad3bc4020015f3bb56,0.5974822566211587,-276.4321268392766,554.8642536785532,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5e1f7b2a4c9b832b34e7c9d3,0.6153730525119271,-267.7140977566089,537.4281955132178,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5e5410f5be932e06384a03ec,0.7219557551831037,-267.4197329790674,536.8394659581348,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5e9fb6c522a51f166714e092,0.6391017773710289,-229.44611005355432,460.89222010710864,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5ee232f2b970662cfa352567,0.660810632491623,-264.67138622442855,531.3427724488571,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5ee5e3b02eebe932ee9559c5,0.5258188280350694,-277.83794379274116,557.6758875854823,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5f7910b3cca3e751912b8dc0,0.6437102098412629,-274.1295242173586,550.2590484347172,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5fb0a3d6a8e4224b973e750b,0.535289846171507,-215.65221668263914,433.30443336527827,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5fc6772fe8fdb700085c553a,0.6112645322070863,-256.5434694526204,515.0869389052408,WinStayLoseShiftEpsilonGreedyWithoutReplacement
5febf3346a3657d4aca47a2f,0.5625042916820524,-268.6722288301282,539.3444576602564,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6079ff1600ff2b7455e1c3e0,0.5462916640289488,-281.4947452532848,564.9894905065696,WinStayLoseShiftEpsilonGreedyWithoutReplacement
60fe83c4f1cfa0b516b363cc,0.6327915751231518,-271.3102927219971,544.6205854439942,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6110d9878a3bec3b5a040544,0.5255577881299581,-269.236036067341,540.472072134682,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6111234ac8cfa49e38acbfb4,0.6817575681098142,-273.10028086308597,548.2005617261719,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6142763db0841a831cf129fc,0.7071972499184164,-258.0242582537897,518.0485165075794,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6175e05636b79082f8d345c5,0.5320450702515485,-268.8900889624481,539.7801779248962,WinStayLoseShiftEpsilonGreedyWithoutReplacement
628f0d7e3055b5d1887916c5,0.5317141869996026,-265.886343492681,533.772686985362,WinStayLoseShiftEpsilonGreedyWithoutReplacement
62a0b34cbcc5987a8fa73c39,0.3502201248008472,-269.4604581533511,540.9209163067022,WinStayLoseShiftEpsilonGreedyWithoutReplacement
62aa28c1027ae7d68ef3571c,0.6015433166074806,-270.3211607932301,542.6423215864602,WinStayLoseShiftEpsilonGreedyWithoutReplacement
62fe6312269d0e4ae894297b,0.8106083251443686,-278.5911043706701,559.1822087413402,WinStayLoseShiftEpsilonGreedyWithoutReplacement
630cc9747cb664e8a03c29f0,0.579814362912155,-268.9901103805469,539.9802207610938,WinStayLoseShiftEpsilonGreedyWithoutReplacement
63254db937c17e8e9200fd54,0.6696463720978836,-264.23248926073364,530.4649785214673,WinStayLoseShiftEpsilonGreedyWithoutReplacement
63d83a19b8acced30d2e0d32,0.6083696755131919,-278.559942651837,559.119885303674,WinStayLoseShiftEpsilonGreedyWithoutReplacement
63d9f41910c61f3eb102079f,0.5053490096434166,-264.6926708019122,531.3853416038244,WinStayLoseShiftEpsilonGreedyWithoutReplacement
63f78d9a7a3d118594efff74,0.5660859394672475,-267.7116420977192,537.4232841954384,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6400dc9f84ed19aeedc1a2cc,0.8717109476580395,-282.3611529979481,566.7223059958962,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6400e3697879c55c323f34d0,0.6956598566430093,-260.31316895146557,522.6263379029311,WinStayLoseShiftEpsilonGreedyWithoutReplacement
640feb5e49b723bcfaad6437,0.8015395503058814,-270.36497823119646,542.7299564623929,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6410e0ba81f88046afa861ca,0.5885674392995831,-281.6990094591537,565.3980189183073,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6413665e5dec6a98797ef5ab,0.5616999171148862,-262.58410841061516,527.1682168212303,WinStayLoseShiftEpsilonGreedyWithoutReplacement
64136da866ff27f7bf98cfe0,0.6230683159896175,-259.7158556637927,521.4317113275854,WinStayLoseShiftEpsilonGreedyWithoutReplacement
644c34bee80856c9546c7312,0.644165211889742,-261.4512561381172,524.9025122762343,WinStayLoseShiftEpsilonGreedyWithoutReplacement
647652cb5644044df439e1fb,0.70720165713721,-264.29248491503523,530.5849698300705,WinStayLoseShiftEpsilonGreedyWithoutReplacement
650ee1c673c788d8cffca2d3,0.4523677118160203,-258.2460723992481,518.4921447984962,WinStayLoseShiftEpsilonGreedyWithoutReplacement
653ee1d628ced1573a58023d,0.6407857950630215,-271.01921307236995,544.0384261447399,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6549c057c03dd7b7b3166a9d,0.6728118540424173,-272.2157641061283,546.4315282122566,WinStayLoseShiftEpsilonGreedyWithoutReplacement
657322bd0c81d1e8853d38e8,0.5950901323949976,-269.94955234091094,541.8991046818219,WinStayLoseShiftEpsilonGreedyWithoutReplacement
657327316173c2bd86323378,0.8859808039284073,-280.3867836391516,562.7735672783032,WinStayLoseShiftEpsilonGreedyWithoutReplacement
65847ecf0896ca006d2c00b7,0.5965630666391926,-283.6073822869123,569.2147645738246,WinStayLoseShiftEpsilonGreedyWithoutReplacement
6596a5cad60ef105b6c18897,0.7514066177041053,-271.7316264586007,545.4632529172014,WinStayLoseShiftEpsilonGreedyWithoutReplacement
65c1161ad396af7b640441cb,0.6512917544124903,-268.62331523625954,539.2466304725191,WinStayLoseShiftEpsilonGreedyWithoutReplacement
65cb58d0b074d6157dc0a15d,0.6955580037567282,-262.69021721334695,527.3804344266939,WinStayLoseShiftEpsilonGreedyWithoutReplacement
65cb6fdbf0ca3606c22b9eb7,0.5950487467964907,-265.1523102059632,532.3046204119264,WinStayLoseShiftEpsilonGreedyWithoutReplacement
65cba317504938f6ca5272f5,0.6758548750291723,-279.443889948459,560.887779896918,WinStayLoseShiftEpsilonGreedyWithoutReplacement
65d863e56337aa59292ccd66,0.7278210767402625,-260.80031653097194,523.6006330619439,WinStayLoseShiftEpsilonGreedyWithoutReplacement
65e7bb5a7357ea00136b0270,0.7379844024894342,-268.18631744555825,538.3726348911165,WinStayLoseShiftEpsilonGreedyWithoutReplacement
65f223adc0810071f7cb1061,0.5962699717053443,-259.68892986697637,521.3778597339527,WinStayLoseShiftEpsilonGreedyWithoutReplacement
65f3bf636afc5f3102e7f2fd,0.5852388444558403,-241.753714353934,485.507428707868,WinStayLoseShiftEpsilonGreedyWithoutReplacement
